,DURATIONS_PERPROJECT,TOTAL_PROJECT,STATUS,LAMA_KERJA,DIVISI,GOL,LOKASI,JABATAN
0,0.0,2.0,Kontrak,3,DSO,B1,Jakarta,STAF LV. 3
1,7.0,6.0,Tetap,16,DSO,C3,Malang,MANAGER
4,29.0,3.0,Tetap,9,DIP,B3,Malang,STAF LV. 3 / ASS. SUPERVISOR
5,0.0,51.0,Tetap,16,DIP,C3,Malang,MANAGER
6,1066.0,11.0,Tetap,7,DSO,B3-MI,Malang Madani,STAF LV. 3 / ASS. SUPERVISOR
7,17.0,1.0,Tetap,11,DIP,B3,Malang,STAF LV. 3 / ASS. SUPERVISOR
8,0.0,6.0,Tetap,8,DSO,A3,Jakarta,STAF LV. 3
10,3.0,9.0,Tetap,15,DIP,B4,Malang,ASISTEN MANAGER
11,757.0,2.0,Tetap,14,DBM,B3,Jakarta,SUPERVISOR
12,6.0,9.0,Tetap,8,DSO,B2-MI,Malang Madani,STAF LV. 2
13,1.0,1.0,Tetap,4,DBM,C1,Jakarta,STAF LV. 3 / ASS. SUPERVISOR
14,0.0,1.0,Tetap,9,DBM,B3,Malang,SUPERVISOR
15,24.0,1.0,Tetap,7,DBM,B3,Malang,ASISTEN MANAGER
19,1.0,2.0,Tetap,4,DSO,B2-MI,Malang Madani,STAF LV. 3
20,49.0,1.0,Tetap,8,DBM,C2,Jakarta,SUPERVISOR
23,0.0,1.0,Tetap,6,DBM,B2,Jakarta,STAF LV. 3 / ASS. SUPERVISOR
24,1121.0,1.0,Tetap,15,DIP,F2,Malang,GENERAL MANAGER
25,1.0,17.0,Tetap,4,DIP,B2-MI,Malang Madani,STAF LV. 2
26,20.0,5.0,Tetap,16,DSO,C3,Jakarta,ASISTEN MANAGER
27,2477.0,2.0,Tetap,11,DBM,B3,Malang,ASISTEN MANAGER
29,0.0,2.0,Tetap,16,DMS,C3,Malang,ASISTEN MANAGER
30,5.0,10.0,Tetap,8,DSO,B3,Malang,SUPERVISOR
31,52.0,5.0,Tetap,11,DSO,B3,Malang,SUPERVISOR
32,0.0,35.0,Tetap,5,DLA,B2-MI,Malang Madani,SUPERVISOR
33,117.0,1.0,Tetap,16,DAK,B1,Jakarta,STAF LV.0
34,7.0,4.0,Tetap,4,DIP,B2-MI,Malang Madani,STAF LV. 2
36,0.0,48.0,Tetap,14,DIP,B4,Malang,SUPERVISOR
37,1.0,27.0,Kontrak,1,DIP,B1-MI,Malang Madani,STAF LV.0
39,45.0,3.0,Kontrak,3,DBM,B1-MI,Malang Madani,STAF LV. 2
40,0.0,3.0,Kontrak,1,DIP,B1-MI,Malang Madani,STAF LV.0
41,0.0,25.0,Tetap,16,DMS,C3,Malang,STAF LV. 3
45,7.0,7.0,Tetap,6,DSO,B1,Jakarta,STAF LV. 3 / ASS. SUPERVISOR
50,0.0,41.0,Tetap,4,DMS,B2-MI,Malang Madani,STAF LV.0
51,23.0,28.0,Tetap,4,DLA,B2-MI,Malang Madani,STAF LV. 3
52,1.0,18.0,Kontrak,1,DLA,B1-MI,Malang Madani,STAF LV.0
54,0.0,12.0,Tetap,15,DLA,B4,Malang,MANAGER
55,3.0,3.0,Tetap,16,DBM,B3,Jakarta,ASISTEN MANAGER
59,0.0,23.0,Tetap,4,DMS,B2-MI,Malang Madani,STAF LV.0
61,1.0,20.0,Tetap,5,DIP,B2-MI,Malang Madani,STAF LV. 3
62,0.0,11.0,Tetap,16,DIP,C3,Malang,MANAGER
